City,Month,AvgTemperature
Beijing,5,173.48
Beijing,5,177.44
Beijing,6,179.96
Beijing,6,183.02
Beijing,6,166.46
Beijing,6,182.48
Beijing,6,193.1
Beijing,6,182.66
Beijing,6,168.44
Beijing,6,177.44
Beijing,6,152.6
Beijing,6,160.16
Beijing,6,161.24
Beijing,6,169.16
Beijing,6,152.06
Beijing,6,169.7
Beijing,6,168.8
Beijing,6,173.48
Beijing,6,165.2
Beijing,6,182.84
Beijing,6,176.54
Beijing,6,183.92
Beijing,6,186.44
Beijing,6,176
Beijing,6,187.34
Beijing,6,189.86
Beijing,6,178.52
Beijing,6,177.26
Beijing,6,188.78
Beijing,6,186.62
Beijing,6,189.14
Beijing,6,176.72
Beijing,7,176.72
Beijing,7,177.08
Beijing,7,176.18
Beijing,7,187.88
Beijing,7,178.34
Beijing,7,184.1
Beijing,7,168.98
Beijing,7,177.8
Beijing,7,170.6
Beijing,7,172.4
Beijing,7,159.44
Beijing,7,169.7
Beijing,7,176.18
Beijing,7,181.76
Beijing,7,186.62
Beijing,7,171.86
Beijing,7,169.16
Beijing,7,177.98
Beijing,7,179.6
Beijing,7,189.14
Beijing,7,190.58
Beijing,7,181.76
Beijing,7,184.46
Beijing,7,174.38
Beijing,7,181.94
Beijing,7,185.72
Beijing,7,181.94
Beijing,7,185.9
Beijing,7,188.06
Beijing,7,191.3
Beijing,7,192.56
Beijing,8,194
Beijing,8,192.38
Beijing,8,194
Beijing,8,194.54
Beijing,8,186.26
Beijing,8,173.84
Beijing,8,181.76
Beijing,8,171.5
Beijing,8,182.12
Beijing,8,185.9
Beijing,8,174.92
Beijing,8,174.56
Beijing,8,177.62
Beijing,8,175.28
Beijing,8,182.3
Beijing,8,179.42
Beijing,8,178.88
Beijing,8,167.9
Beijing,8,170.78
Beijing,8,179.6
Beijing,8,179.06
Beijing,8,170.06
Beijing,8,173.3
Beijing,8,174.02
Beijing,8,178.52
Beijing,8,180.32
Beijing,8,177.62
Beijing,8,172.58
Beijing,8,176
Beijing,8,160.7
Beijing,8,172.22
Beijing,9,168.98
Beijing,9,166.28
Beijing,9,177.08
Beijing,9,171.5
Beijing,9,175.64
Beijing,9,163.4
Beijing,9,163.22
Beijing,9,159.26
Beijing,9,159.08
Beijing,9,163.94
Beijing,9,157.64
Beijing,9,161.96
Beijing,9,164.48
Beijing,9,168.98
Beijing,9,159.08
Beijing,9,150.44
Beijing,9,158.72
Beijing,9,144.86
Beijing,9,149.54
Beijing,9,149.54
Beijing,9,154.94
Beijing,9,146.48
Beijing,9,146.48
Beijing,9,123.08
Beijing,9,148.28
Beijing,9,145.58
Beijing,9,142.7
Beijing,9,140.36
Beijing,9,133.16
Beijing,9,142.52
Beijing,10,154.04
Beijing,10,147.02
Beijing,10,143.06
Beijing,10,144.68
Beijing,10,148.1
Beijing,10,137.12
Beijing,10,137.48
Beijing,10,139.82
Beijing,10,123.8
Beijing,10,120.38
Beijing,10,121.28
Beijing,10,124.16
Beijing,10,127.94
Beijing,10,134.42
Beijing,10,132.44
Beijing,10,128.48
Beijing,10,118.58
Beijing,10,121.1
Beijing,10,120.74
Beijing,10,122.72
Beijing,10,121.28
Beijing,10,135.68
Beijing,10,121.46
Beijing,10,126.5
Beijing,10,127.94
Beijing,10,116.96
Beijing,10,138.38
Beijing,10,129.2
Beijing,10,121.82
Beijing,10,116.06
Beijing,10,115.16
Beijing,11,117.86
Beijing,11,115.7
Beijing,11,125.06
Beijing,11,110.66
Beijing,11,108.14
Beijing,11,104
Beijing,11,108.32
Beijing,11,110.3
Beijing,11,120.02
Beijing,11,116.42
Beijing,11,114.98
Beijing,11,109.76
Beijing,11,110.48
Beijing,11,-146.2
Beijing,11,-146.2
Beijing,11,102.02
Beijing,11,-146.2
Beijing,11,104.36
Beijing,11,100.04
Beijing,11,107.6
Beijing,11,98.78
Beijing,11,95.9
Beijing,11,95.36
Beijing,11,99.5
Beijing,11,102.56
Beijing,11,105.8
Beijing,11,100.04
Beijing,11,90.14
Beijing,11,91.76
Beijing,11,91.4
Beijing,12,103.46
Beijing,12,105.08
Beijing,12,100.22
Beijing,12,84.02
Beijing,12,86.72
Beijing,12,71.6
Beijing,12,63.68
Beijing,12,62.42
Beijing,12,65.48
Beijing,12,77.18
Beijing,12,73.58
Beijing,12,82.76
Beijing,12,78.08
Beijing,12,72.5
Beijing,12,77.9
Beijing,12,93.38
Beijing,12,94.82
Beijing,12,89.24
Beijing,12,87.8
Beijing,12,93.38
Beijing,12,99.86
Beijing,12,98.06
Beijing,12,70.88
Beijing,12,72.14
Beijing,12,86
Beijing,12,67.46
Beijing,12,58.1
Beijing,12,66.92
Beijing,12,66.56
Beijing,12,61.34
Beijing,12,62.42
Beijing,1,72.86
Beijing,1,71.96
Beijing,1,75.02
Beijing,1,80.96
Beijing,1,72.68
Beijing,1,68.54
Beijing,1,82.58
Beijing,1,68.72
Beijing,1,69.26
